Year,Type,Country,Area,Activity,Injury,Fatal
2017,Unprovoked,South Africa,Western Cape Province,Surfing,Injury,N
2017,Unprovoked,Usa,South Carolina,Surfing,Injury,N
2017,Unprovoked,Reunion,Saint-Leu,Surfing,Fatal,Y
2017,Unprovoked,New Zealand,South Island,Surfing,Injury,N
2017,No Data,Usa,Florida,Photo Shoot,Injury,No Data
2017,Unprovoked,"St Helena, British Overseas Territory",Ascension Island,Swimming,Injury,N
2017,No Data,Usa,South Carolina,Swimming,Injury,No Data
2017,Unprovoked,Australia,Western Australia,Surfing,Fatal,Y
2017,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2017,Unprovoked,Usa,Florida,Surfing,Injury,N
2017,Unprovoked,Usa,Florida,Surfing,Injury,N
2017,No Data,South Africa,Kwazulu-Natal,Diving,Fatal,No Data
2017,Unprovoked,Usa,Florida,Surfing,Injury,N
2017,Unprovoked,Usa,Florida,Boating,Injury,N
2017,Unprovoked,Usa,Florida,Swimming,Injury,N
2017,Unprovoked,Usa,Florida,Swimming,Injury,N
2017,Unprovoked,Usa,Florida,Swimming,"Thigh nipped, minor injury",N
2017,Unprovoked,Australia,Queensland,Kakaying,No injury,N
2017,Unprovoked,Usa,Florida,Swimming,Injury,N
2017,Unprovoked,Usa,Florida,Surfing,Injury,N
2017,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2017,Boat,Usa,California,Boating,No injury,N
2017,Unprovoked,Philippines,Luzon Island,Diving,Injury,N
2017,Unprovoked,Bahamas,Great Exuma,Washing Hands,Injury,N
2017,Unprovoked,Australia,Western Australia,Swimming,Injury,N
2017,Unprovoked,Australia,Western Australia,Surfing,No injury,N
2017,Unprovoked,Reunion,Saint-Andre,Surfing,Fatal,Y
2017,Unprovoked,Australia,Queensland,Diving,Injury,N
2017,Unprovoked,Usa,Florida,Swimming,Injury to hand,N
2017,Provoked,Brazil,Pernambuco,Grabbing Shark For A Selfie,Injury,N
2017,Boat,South Africa,Kwazulu-Natal,Fishing,"Shark damaged kayak, no injury to occupant",N
2017,Boat,Usa,South Carolina,Tagging Sharks,"Shark bit boat, no injury to occupants",N
2017,Unprovoked,Bahamas,Bimini,Diving,Injury,N
2017,Unprovoked,Brazil,Pernambuco,Swimming,Injury,N
2017,Unprovoked,Australia,Queensland,Diving,"Multiple injuries to arm, wrist and torso",N
2017,Unprovoked,Australia,Queensland,Swimming,Injury to hand,N
2017,Unprovoked,Indonesia,Bali,Surfing,Injury to right wrist & forearm,N
2017,Unprovoked,Usa,Florida,Wading,Injury,N
2017,No Data,Australia,New South Wales,Wading,Injury,No Data
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Australia,Western Australia,Swimming,Injury,N
2016,Unprovoked,South Africa,Western Cape Province,Surfing,No injury,N
2016,Unprovoked,Australia,Western Australia,Diving,Punctures to left foot/ankle,N
2016,Unprovoked,French Polynesia,Tuamotos,Fishing,Injury,N
2016,No Data,Usa,Florida,Surfing,Cuts to right ankle & foot,No Data
2016,Provoked,Australia,New South Wales,Surfing,Injury,N
2016,Unprovoked,Australia,New South Wales,Surfing,Injuries to foot & arm,N
2016,Provoked,Australia,Victoria,Fishing,Injury,N
2016,Unprovoked,Usa,Hawaii,Swimming,Injuries to right calf and thigh,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2016,Unprovoked,Usa,Hawaii,Surfing,Injury,N
2016,Unprovoked,Australia,Queensland,Surfing,Torso nipped,N
2016,Unprovoked,Usa,Hawaii,Swimming,Injuries to left calf,N
2016,No Data,Mexico,No Data,Diving,"Shark breached cage, no injury to diver",No Data
2016,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2016,Unprovoked,Usa,Oregon,Surfing,Wounds to upper thigh and lower leg,N
2016,Unprovoked,Usa,Florida,Surfing,Cuts to dorsal surface of left foot,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Australia,New South Wales,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,California,Surfing,No injury,N
2016,Unprovoked,Australia,Victoria,Surfing,Struck by fin on chest & leg,N
2016,Unprovoked,Australia,Victoria,Surfing,No injury,N
2016,Boat,Australia,Western Australia,Fishing,No injury,N
2016,Unprovoked,Usa,Florida,Wading,Injury,N
2016,Unprovoked,Usa,Hawaii,Swimming,Injury,N
2016,Unprovoked,New Caledonia,North Province,Surfing,Fatal,Y
2016,Unprovoked,Usa,South Carolina,Surfing,Injury,N
2016,Unprovoked,Australia,Western Australia,Surfing,"No inury, board broken in half by shark",N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,California,Diving,Injury,N
2016,No Data,Mexico,No Data,Diving,No injury,No Data
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Reunion,No Data,Surfing,Injury,N
2016,Unprovoked,Usa,Florida,Wading,Injury,N
2016,Unprovoked,Bahamas,New Providence Island,Swimming,Injury,N
2016,Unprovoked,Usa,Hawaii,Sup Foil Boarding,"No inury, shark & board collided",N
2016,Unprovoked,Usa,Florida,Surfing,Injury,N
2016,Unprovoked,Spain,Alicante Province,Swimming,Injury,N
2016,Unprovoked,China,Hong Kong,Swimming,Injury,N
2016,Boat,Australia,Western Australia,Boating,No injury,N
2016,Provoked,Usa,Florida,Lobstering,Injury,N
2016,Unprovoked,Australia,New South Wales,Surfing,No injury,N
2016,Unprovoked,Japan,Kochi Prefecture,Surfing,Injury,N
2016,Unprovoked,Australia,Tasmania,Surfing,Calf bumped but no injury,N
2016,Unprovoked,Bahamas,Abaco Islands,Diving,Injury,N
2016,Provoked,Australia,Queensland,Fishing,Injury,N
